2000,139.79,0,32.778,1
1999,138.36,1.3965,32.778,1
1998,137.77,1.9745,32.778,1
1997,137.31,2.418,32.778,1
1996,136.93,2.7918,32.778,1
1995,136.59,3.121,32.778,0.99495
1994,136.28,3.4174,32.778,1
1993,136,3.6912,32.778,1
1992,135.74,3.9459,32.778,1
1991,135.49,4.1851,32.778,0.98718
1990,135.26,4.409,32.778,1
1989,135.04,4.6242,32.778,0.9894
1988,134.83,4.8281,32.778,1
1987,134.63,5.0253,32.778,0.97328
1986,134.43,5.2109,32.778,1
1985,134.24,5.3942,32.778,1
1984,134.06,5.5713,32.778,1
1983,133.88,5.743,32.778,0.99247
1982,133.71,5.9086,32.778,0.97839
1981,133.54,6.0678,32.778,1
1980,133.38,6.2258,32.778,1
1979,133.22,6.3798,32.778,1
1978,133.07,6.5301,32.778,1
1977,132.92,6.6771,32.778,1
1976,132.77,6.8208,32.778,0.99795
1975,132.62,6.9614,32.778,1
1974,132.48,7.0993,32.778,1
1973,132.34,7.2346,32.778,1
1972,132.2,7.3674,32.778,1
1971,132.07,7.4979,32.778,1
1970,131.94,7.6261,32.778,1
1969,131.81,7.7521,32.778,1
1968,131.68,7.8762,32.778,1
1967,131.55,7.9982,32.778,1
1966,131.43,8.1185,32.778,1
1965,131.31,8.2369,32.778,1
1964,131.19,8.3537,32.778,1
1963,131.07,8.4689,32.778,1
1962,130.95,8.5824,32.778,1
1961,130.83,8.6945,32.778,1
1960,130.72,8.8052,32.778,1
1959,130.61,8.9144,32.778,1
1958,130.5,9.0224,32.778,0.98819
1957,130.39,9.1279,32.778,1
1956,130.28,9.2333,32.778,1
1955,130.17,9.3376,32.778,1
1954,130.06,9.4406,32.778,0.99853
1953,129.96,9.5424,32.778,0.99406
1952,129.85,9.6427,32.778,1
1951,129.75,9.7425,32.778,1
1950,129.65,9.8412,32.778,1
1949,129.55,9.939,32.778,1
1948,129.45,10.036,32.778,1
1947,129.35,10.132,32.778,1
1946,129.25,10.227,32.778,1
1945,129.15,10.321,32.778,1
1944,129.06,10.414,32.778,1
1943,128.96,10.506,32.778,1
1942,128.86,10.598,32.778,1
1941,128.77,10.689,32.778,1
1940,128.68,10.779,32.778,1
1939,128.59,10.868,32.778,1
1938,128.49,10.956,32.778,1
1937,128.4,11.044,32.778,0.97982
1936,128.31,11.13,32.778,1
1935,128.22,11.216,32.778,1
1934,128.13,11.302,32.778,0.99121
1933,128.05,11.386,32.778,1
1932,127.96,11.471,32.778,1
1931,127.87,11.554,32.778,1
1930,127.79,11.638,32.778,1
1929,127.7,11.72,32.778,0.99938
1928,127.61,11.802,32.778,0.99445
1927,127.53,11.883,32.778,0.99181
1926,127.45,11.964,32.778,1
1925,127.36,12.044,32.778,1
1924,127.28,12.123,32.778,1
1923,127.2,12.201,32.778,1
1922,127.12,12.279,32.778,1
1921,127.04,12.355,32.778,1
1920,126.95,12.431,32.778,1
1919,126.87,12.505,32.778,1
1918,126.79,12.579,32.778,1
1917,126.72,12.652,32.778,1
1916,126.64,12.725,32.778,1
1915,126.56,12.796,32.778,1
1914,126.48,12.867,32.778,1
1913,126.4,12.937,32.778,1
1912,126.33,13.007,32.778,1
1911,126.25,13.075,32.778,1
1910,126.17,13.144,32.778,0.97361
1909,126.1,13.209,32.778,1
1908,126.02,13.276,32.778,1
1907,125.95,13.342,32.778,0.98784
1906,125.87,13.407,32.778,1
1905,125.8,13.472,32.778,1
1904,125.72,13.537,32.778,1
1903,125.65,13.601,32.778,0.99706
1902,125.58,13.664,32.778,0.99068
1901,125.5,13.726,32.778,0.985
1900,125.43,13.787,32.778,1
1899,125.36,13.849,32.778,1
1898,125.29,13.91,32.778,1
1897,125.21,13.971,32.778,1
1896,125.14,14.031,32.778,1
1895,125.07,14.09,32.778,1
1894,125,14.149,32.778,1
1893,124.93,14.207,32.778,1
1892,124.86,14.264,32.778,1
1891,124.79,14.321,32.778,1
1890,124.72,14.377,32.778,1
1889,124.65,14.433,32.778,1
1888,124.58,14.488,32.778,1
1887,124.51,14.542,32.778,1
1886,124.44,14.596,32.778,1
1885,124.38,14.649,32.778,1
1884,124.31,14.702,32.778,1
1883,124.24,14.754,32.778,1
1882,124.17,14.806,32.778,1
1881,124.1,14.858,32.778,1
1880,124.04,14.909,32.778,1
1879,123.97,14.959,32.778,1
1878,123.9,15.009,32.778,1
1877,123.84,15.059,32.778,1
1876,123.77,15.108,32.778,1
1875,123.7,15.156,32.778,1
1874,123.64,15.205,32.778,1
1873,123.57,15.253,32.778,1
1872,123.51,15.3,32.778,0.99781
1871,123.44,15.347,32.778,1
1870,123.38,15.394,32.778,1
1869,123.31,15.44,32.778,0.99598
1868,123.25,15.486,32.778,1
1867,123.18,15.532,32.778,1
1866,123.12,15.577,32.778,1
1865,123.06,15.622,32.778,0.98343
1864,122.99,15.666,32.778,0.9531
1863,122.93,15.709,32.778,1
1862,122.86,15.753,32.778,1
1861,122.8,15.797,32.778,1
1860,122.74,15.84,32.778,1
1859,122.67,15.883,32.778,0.98518
1858,122.61,15.925,32.778,0.97397
1857,122.55,15.967,32.778,1
1856,122.49,16.009,32.778,1
1855,122.42,16.051,32.778,1
1854,122.36,16.092,32.778,1
1853,122.3,16.134,32.778,1
1852,122.24,16.175,32.778,1
1851,122.18,16.215,32.778,1
1850,122.11,16.256,32.778,1
1849,122.05,16.296,32.778,1
1848,121.99,16.336,32.778,1
1847,121.93,16.376,32.778,1
1846,121.87,16.415,32.778,1
1845,121.81,16.455,32.778,1
1844,121.75,16.494,32.778,1
1843,121.69,16.532,32.778,1
1842,121.63,16.571,32.778,1
1841,121.57,16.609,32.778,1
1840,121.51,16.647,32.778,1
1839,121.45,16.685,32.778,1
1838,121.39,16.723,32.778,1
1837,121.33,16.76,32.778,1
1836,121.27,16.797,32.778,1
1835,121.21,16.834,32.778,1
1834,121.15,16.871,32.778,1
1833,121.09,16.907,32.778,1
1832,121.03,16.944,32.778,1
1831,120.97,16.98,32.778,0.95006
1830,120.91,17.015,32.778,0.081793
1829,120.85,17.025,32.778,0
1828,120.79,17.034,32.778,0.064881
1827,120.74,17.044,32.778,0
1826,120.68,17.052,32.778,0
1825,120.62,17.06,32.778,0
1824,120.56,17.069,32.778,0
